run_label,architecture,seed,source_file,metric_column,std_threshold,iteration,n_before,mean,sample_std,threshold,n_removed
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,9,72020,0.504243457439488,0.3215137641403554,1.468784749860554,165
L3N5 seed 0,L3N5,0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,force_mae,3.0,10,71855,0.5020060658226787,0.31847035563403386,1.4574171327247805,95
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,1,80000,0.604897708594813,0.7926970774021175,2.982988940801165,1407
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,2,78593,0.5323731091821269,0.490673329117302,2.0043930965340326,2025
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,3,76568,0.482740744224023,0.3867097817927209,1.6428700896021857,1639
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,4,74929,0.4537955000386787,0.3368077975425711,1.464218892666392,1172
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,5,73757,0.4364019604101174,0.3096075900880104,1.3652247306741487,811
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,6,72946,0.42555235937787717,0.29361189373317326,1.3063880405773969,562
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,7,72384,0.4184891605476924,0.28354811117740236,1.2691334940798995,389
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,8,71995,0.4137975739729059,0.277015296849484,1.244843464521358,257
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,9,71738,0.4107786400236733,0.27287179649219107,1.2293940295002466,180
