subset,metric,direction,rank,source_index,target_energy,max_target_atomic_force,h_planarity_ratio,in_high_force,in_high_energy,in_planar,l3n4_median_error,l3n5_median_error,l3n5_minus_l3n4
high_force,energy_abs_error,largest_l3n5_regression,21,3401393,-7.911324501037598,575.8363371619554,0.07075904574072012,True,False,False,3.7023258209228516,4.925227165222168,1.2229013442993164
high_force,energy_abs_error,largest_l3n5_regression,22,6945825,555.7863159179688,3654.617044313861,0.12433713183017511,True,True,False,0.5198974609375,1.65863037109375,1.13873291015625
high_force,energy_abs_error,largest_l3n5_regression,23,7588736,14.88277816772461,638.9614974594501,0.17042241681011167,True,False,False,2.534973621368408,3.6582283973693848,1.1232547760009766
high_force,energy_abs_error,largest_l3n5_regression,24,3919681,-15.621010780334473,306.86565056977435,0.007237734732807119,True,False,True,0.343505859375,1.434309959411621,1.090804100036621
high_force,energy_abs_error,largest_l3n5_regression,25,5195138,204.14492797851562,1662.594814609126,0.31630899967545045,True,True,False,0.6895675659179688,1.7743301391601562,1.0847625732421875
high_force,force_rmse,largest_l3n5_improvement,1,5813022,450.1976623535156,2451.501262381391,0.008928890243024793,True,True,True,21.2127448500664,12.13628556729185,-9.07645928277455
high_force,force_rmse,largest_l3n5_improvement,2,4003634,894.2456665039062,4363.342247016245,0.11125618049547059,True,True,False,29.308776825939404,23.464836201837187,-5.843940624102217
high_force,force_rmse,largest_l3n5_improvement,3,5619249,587.6139526367188,2381.2842903827395,0.049895034035827776,True,True,False,15.071470268773478,10.720026005839,-4.3514442629344785
high_force,force_rmse,largest_l3n5_improvement,4,6954521,211.0420379638672,1426.3538655086745,0.293965204884976,True,True,False,18.427749044540203,14.434772635674964,-3.992976408865239
high_force,force_rmse,largest_l3n5_improvement,5,4246309,956.009521484375,4542.151327963925,0.09653371641999943,True,True,False,10.169226742262563,6.861772915311244,-3.3074538269513187
high_force,force_rmse,largest_l3n5_improvement,6,6192544,87.9297866821289,554.4719859081271,0.08872579862094872,True,True,False,12.06996947473722,8.80314429796394,-3.266825176773281
high_force,force_rmse,largest_l3n5_improvement,7,4238808,600.2057495117188,3845.5605612568415,0.13359097832325795,True,True,False,15.570478358394508,12.548701723884967,-3.021776634509541
high_force,force_rmse,largest_l3n5_improvement,8,6371940,342.01678466796875,2919.436022591803,0.0475817176217904,True,True,False,32.26919577754385,29.261177811118095,-3.0080179664257543
high_force,force_rmse,largest_l3n5_improvement,9,6382778,101.07012176513672,2051.187886879723,0.10348348713962376,True,True,False,8.86827548719638,6.215165206567173,-2.653110280629207
