condition,subset,architecture,seed,run_file,n_molecules,energy_mae,energy_rmse,force_mae,force_rmse
single_point_removed,high_energy,L3N5,2,l3_n5_d1000000_seed2_task5_per_point.npz,11999,0.303883562168287,0.6082553396917174,0.8494661752918852,2.52287464676384
single_point_removed,high_energy,L3N5,3,l3_n5_d1000000_seed3_task6_per_point.npz,11999,0.23032052140005807,0.46372269109407394,0.7282556578269156,2.082543386947999
single_point_removed,high_energy,L3N5,42,l3_n5_d1000000_seed42_task0_per_point.npz,11999,0.23890148976393785,0.49048347133816794,0.739065841167375,2.0401474270504405
single_point_removed,high_energy,L3N5,4,l3_n5_d1000000_seed4_task7_per_point.npz,11999,0.23123566183768487,0.48869705792944534,0.734758530511724,2.0759181886637434
single_point_removed,high_energy,L3N5,7,l3_n5_d1000000_seed7_task2_per_point.npz,11999,0.24786768055764902,0.5138367027188374,0.7787583365574338,2.2014711399791995
single_point_removed,planar,L3N4,0,l3_n4_d1000000_seed0_task0_per_point.npz,11999,0.2068986490425348,0.35865816171970477,0.5971270093096991,1.356179868451737
single_point_removed,planar,L3N4,101,l3_n4_d1000000_seed101_task4_per_point.npz,11999,0.20664498210713952,0.3716711402421641,0.5992078944765163,1.4025539571166004
single_point_removed,planar,L3N4,1,l3_n4_d1000000_seed1_task1_per_point.npz,11999,0.21885987496976356,0.4281520913376646,0.6640012350201525,6.430140291654404
single_point_removed,planar,L3N4,202,l3_n4_d1000000_seed202_task5_per_point.npz,11999,0.2396298174846693,0.40692890271235044,0.6581689419997455,1.47116551808645
single_point_removed,planar,L3N4,42,l3_n4_d1000000_seed42_task3_per_point.npz,11999,0.2369357832440541,0.4232826455280545,0.6651562392040617,1.4736068261450703
single_point_removed,planar,L3N4,7,l3_n4_d1000000_seed7_task2_per_point.npz,11999,0.21279188790667905,0.3754297118418615,0.604987035673343,1.3800011576425113
single_point_removed,planar,L3N5,0,l3_n5_d1000000_seed0_task3_per_point.npz,11999,0.28738176494716344,0.5255850410779215,0.7510280711498002,1.8383619683516748
single_point_removed,planar,L3N5,1776,l3_n5_d1000000_seed1776_task1_per_point.npz,11999,0.22565898764699993,0.3982235992599946,0.6423062666276285,1.4632761332793922
single_point_removed,planar,L3N5,1,l3_n5_d1000000_seed1_task4_per_point.npz,11999,0.21458100578689865,0.3859952546647113,0.6265986041931784,1.3846856922467812
single_point_removed,planar,L3N5,2,l3_n5_d1000000_seed2_task5_per_point.npz,11999,0.28205025333394873,0.4832924148967315,0.7142322136395843,1.5094861463418412
single_point_removed,planar,L3N5,3,l3_n5_d1000000_seed3_task6_per_point.npz,11999,0.21089648593756416,0.36690161526009535,0.6202744002479674,1.3701087393474456
single_point_removed,planar,L3N5,42,l3_n5_d1000000_seed42_task0_per_point.npz,11999,0.21525349005117933,0.38436654846807844,0.6227563478286915,1.3902384811886286
single_point_removed,planar,L3N5,4,l3_n5_d1000000_seed4_task7_per_point.npz,11999,0.21743018299071717,0.4070322956438803,0.6349891138433881,1.6166113701035894
single_point_removed,planar,L3N5,7,l3_n5_d1000000_seed7_task2_per_point.npz,11999,0.22469056622733802,0.3888021626723797,0.6514761476004354,1.4612294245522064
