metric,architecture,seed,run_label,source_file,n_points,mean,sample_std,n_ge_outlier_sigma,n_ge_3std,n_ge_5std,n_ge_10std,worst_source_index,worst_error,worst_sigma
force_mae,L4N4,1776,L4N4 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,80000,0.5456845436133745,1.5124562389558096,681,266,70,17,3937730,370.2244784037272,244.42280334361126
force_rmse,L3N4,0,L3N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed0_task0_per_point.csv,80000,0.7487737191471382,1.062059810771518,2580,1249,432,71,6266598,66.2939031846871,61.71510191871929
force_rmse,L3N4,1,L3N4 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed1_task1_per_point.csv,80000,0.7759377503699537,2.727832319847768,400,133,29,8,7140304,687.9956930235953,251.92888517120326
force_rmse,L3N4,7,L3N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed7_task2_per_point.csv,80000,0.7593240561979255,1.803635935018513,1014,417,114,24,3937730,414.7748789531857,229.5449690587021
force_rmse,L3N4,42,L3N4 s42,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed42_task3_per_point.csv,80000,3.06855626350397,635.9190477885116,1,1,1,1,3937730,179865.61295243155,282.83874342443846
force_rmse,L3N4,101,L3N4 s101,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed101_task4_per_point.csv,80000,0.7459622809873312,1.2523542465365345,1939,924,274,46,3937730,201.27902566320157,160.12487196558098
force_rmse,L3N4,202,L3N4 s202,examples/methane_sweep/results/per_point/random_common_80k/l3_n4_d1000000_seed202_task5_per_point.csv,80000,0.8431210359313008,7.652568671926223,30,11,4,1,4707565,2142.209005199933,279.8231516718948
force_rmse,L3N5,0,L3N5 s0,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed0_task3_per_point.csv,80000,0.9302972736635371,1.2755249187294415,2431,1199,418,53,7306805,95.44022227315418,74.09492641949525
force_rmse,L3N5,1,L3N5 s1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,80000,0.77667101360709,1.0342250207399561,2835,1424,475,72,6266598,57.83772347096794,55.17276348287863
force_rmse,L3N5,2,L3N5 s2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,80000,0.8995919849183872,2.005835693119988,982,413,95,17,3937730,411.6749673806163,204.79014148798754
force_rmse,L3N5,3,L3N5 s3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,80000,1.3426306001985093,150.97216563344338,3,3,2,2,3937730,42601.954277033605,282.1752703068897
force_rmse,L3N5,4,L3N5 s4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,80000,0.767989277423989,1.1236320753312905,2458,1187,394,61,7306805,77.08779415843115,67.92241567018733
force_rmse,L3N5,7,L3N5 s7,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed7_task2_per_point.csv,80000,0.8156407186690648,2.715445565417085,470,164,38,7,3937730,702.0980929625365,258.2568625845948
force_rmse,L3N5,42,L3N5 s42,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed42_task0_per_point.csv,80000,0.7763728265238862,1.0743564989113195,2674,1338,437,66,3587886,66.37575037305601,61.05922718669838
force_rmse,L3N5,1776,L3N5 s1776,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1776_task1_per_point.csv,80000,0.8445330250675972,11.79982220048153,7,3,3,2,5550185,3185.393615054313,269.88110735255736
force_rmse,L4N3,7,L4N3 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed7_task2_per_point.csv,80000,0.7753723255357129,1.0564935853803457,2731,1348,455,82,6266598,50.09047381752151,46.67808889178631
force_rmse,L4N3,42,L4N3 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,80000,0.809886800124928,2.047969306208862,879,348,93,11,7508701,486.9633026656726,237.38315530006648
force_rmse,L4N3,101,L4N3 s101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,80000,0.8257259389713092,1.1601534754277159,2595,1277,413,61,3937730,103.36672337172006,88.3857175835678
force_rmse,L4N3,202,L4N3 s202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,80000,0.7987275902263791,1.2491149539856543,2128,1006,331,53,3628756,175.72073603355872,140.03675793424316
force_rmse,L4N3,303,L4N3 s303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,80000,0.8081150269731313,1.0942569696426558,2727,1335,458,74,6266598,58.85059608692058,53.042825104328095
force_rmse,L4N3,1776,L4N3 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,80000,0.7893848742178087,1.2645035356073908,2082,1002,311,53,7508701,171.816428340269,135.25232524075165
force_rmse,L4N4,0,L4N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,80000,0.6998088506690505,1.0027711299909015,2583,1249,418,85,6266598,62.54296158067261,61.67225090591179
force_rmse,L4N4,7,L4N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,80000,0.7121068102430937,1.0548637193503148,2334,1136,386,70,6266598,96.1626373967728,90.48612520801947
force_rmse,L4N4,42,L4N4 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,80000,0.7284919982471453,1.294255059768757,1781,809,255,44,3937730,223.1200374064969,171.8297670383334
force_rmse,L4N4,1776,L4N4 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,80000,0.7028454213925167,2.376875554184212,467,161,53,10,3937730,609.9010931971195,256.30212179316857
