architecture,seed,run_label,source_file,metric,raw,filtered,n_total,n_shared_hard,n_diagnostic_filtered,n_filtered,filtered_fraction
L4N3,42,L4N3 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,energy_mae,0.21443938535493218,0.21444201152064013,80000,1,0,1,1.25e-05
L4N3,42,L4N3 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,energy_mse,0.13467138718436023,0.13467307036134388,80000,1,0,1,1.25e-05
L4N3,42,L4N3 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,force_mae,0.6298982761745554,0.6299028338267697,80000,1,0,1,1.25e-05
L4N3,42,L4N3 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed42_task0_per_point.csv,force_rmse,2.2022811993389295,2.190750933196673,80000,1,1,2,2.5e-05
L4N3,101,L4N3 s101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,energy_mae,0.2188547617257631,0.2187884790761058,80000,1,0,1,1.25e-05
L4N3,101,L4N3 s101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,energy_mse,0.14179328306987687,0.1414139774577502,80000,1,0,1,1.25e-05
L4N3,101,L4N3 s101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,force_mae,0.6427452117045079,0.6418833621567446,80000,1,0,1,1.25e-05
L4N3,101,L4N3 s101,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed101_task3_per_point.csv,force_rmse,1.4239952908580757,1.3763094755452205,80000,1,0,1,1.25e-05
L4N3,202,L4N3 s202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,energy_mae,0.21289867895157077,0.21211967627560047,80000,1,1,2,2.5e-05
L4N3,202,L4N3 s202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,energy_mse,0.18129321402658055,0.13229252048566728,80000,1,1,2,2.5e-05
L4N3,202,L4N3 s202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,force_mae,0.6214379529677566,0.619937622703813,80000,1,1,2,2.5e-05
L4N3,202,L4N3 s202,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed202_task4_per_point.csv,force_rmse,1.4826444037790445,1.3462125782581273,80000,1,1,2,2.5e-05
L4N3,303,L4N3 s303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,energy_mae,0.21497051230372163,0.21496628839065782,80000,1,0,1,1.25e-05
L4N3,303,L4N3 s303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,energy_mse,0.137794372165021,0.1377922736239737,80000,1,0,1,1.25e-05
L4N3,303,L4N3 s303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,force_mae,0.6292387607715947,0.6292283664944576,80000,1,0,1,1.25e-05
L4N3,303,L4N3 s303,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed303_task5_per_point.csv,force_rmse,1.3603063055622315,1.3602963699038995,80000,1,0,1,1.25e-05
L4N3,1776,L4N3 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,energy_mae,0.20889746330198833,0.2088969621978842,80000,1,0,1,1.25e-05
L4N3,1776,L4N3 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,energy_mse,0.13295207788129687,0.13295296487242153,80000,1,0,1,1.25e-05
L4N3,1776,L4N3 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,force_mae,0.6139854113521747,0.613983231982388,80000,1,0,1,1.25e-05
L4N3,1776,L4N3 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n3_d1000000_seed1776_task1_per_point.csv,force_rmse,1.4906635046490413,1.4906680206678937,80000,1,0,1,1.25e-05
L4N4,0,L4N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,energy_mae,0.183090003550495,0.18308901734097668,80000,1,0,1,1.25e-05
L4N4,0,L4N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,energy_mse,0.10032041371842056,0.10032080977168899,80000,1,0,1,1.25e-05
L4N4,0,L4N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,force_mae,0.5445171628077453,0.5444367673459606,80000,1,0,1,1.25e-05
L4N4,0,L4N4 s0,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed0_task6_per_point.csv,force_rmse,1.2228122493840694,1.222354670935158,80000,1,0,1,1.25e-05
L4N4,7,L4N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,energy_mae,0.18390466804380995,0.18390559586156094,80000,1,0,1,1.25e-05
L4N4,7,L4N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,energy_mse,0.10510185567292149,0.10510301908889809,80000,1,0,1,1.25e-05
L4N4,7,L4N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,force_mae,0.5533003617275281,0.5533015248530473,80000,1,0,1,1.25e-05
L4N4,7,L4N4 s7,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed7_task7_per_point.csv,force_rmse,1.272721362426923,1.2727278028599676,80000,1,0,1,1.25e-05
L4N4,42,L4N4 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,energy_mae,0.18831727622949984,0.18816927424615423,80000,1,0,1,1.25e-05
L4N4,42,L4N4 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,energy_mse,0.11034994343595993,0.10854279180738549,80000,1,0,1,1.25e-05
L4N4,42,L4N4 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,force_mae,0.5667680229394589,0.5647440776685151,80000,1,0,1,1.25e-05
L4N4,42,L4N4 s42,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed42_task8_per_point.csv,force_rmse,1.4851854471900643,1.2583774146944813,80000,1,0,1,1.25e-05
L4N4,1776,L4N4 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,energy_mae,0.18196098293097457,0.18083965734423288,80000,1,0,1,1.25e-05
L4N4,1776,L4N4 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,energy_mse,0.20304205036630946,0.10204767118664484,80000,1,0,1,1.25e-05
L4N4,1776,L4N4 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,force_mae,0.5456845436133745,0.5410635009270894,80000,1,0,1,1.25e-05
L4N4,1776,L4N4 s1776,examples/methane_sweep/results/per_point/random_common_80k/l4_n4_d1000000_seed1776_task9_per_point.csv,force_rmse,2.478600102322565,1.222184660919629,80000,1,0,1,1.25e-05
